Division,Date,Metric,Value
North America,2023-01-01,Revenue,150000
North America,2023-04-01,Revenue,180000
North America,2023-07-01,Revenue,200000
North America,2023-10-01,Revenue,220000
Europe,2022-01-01,Revenue,125000
Europe,2022-04-01,Revenue,140000
Europe,2022-07-01,Revenue,160000
Europe,2022-10-01,Revenue,150000
North America,2023-01-01,Net Income,30000
North America,2023-04-01,Net Income,40000
North America,2023-07-01,Net Income,50000
North America,2023-10-01,Net Income,55000
Europe,2022-01-01,Net Income,20000
Europe,2022-04-01,Net Income,25000
Europe,2022-07-01,Net Income,30000
Europe,2022-10-01,Net Income,28000
