Division,Metric,Value
Sales,Revenue,150000
Marketing,Revenue,120000
Development,Revenue,90000
Sales,Revenue,200000
Marketing,Revenue,150000
Development,Revenue,110000
Sales,Revenue,180000
Marketing,Revenue,130000
Sales,Costs,90000
Marketing,Costs,60000
Development,Costs,45000
Sales,Costs,120000
Marketing,Costs,80000
Development,Costs,60000
Sales,Costs,100000
Marketing,Costs,70000
Sales,Profit,60000
Marketing,Profit,60000
Development,Profit,45000
Sales,Profit,80000
Marketing,Profit,70000
Development,Profit,50000
Sales,Profit,80000
Marketing,Profit,60000
